Column 1,Date,Specimen ID,uid,alpha_est,alpha_stderr,alpha_t,alpha_p,ek_est,ek_stderr,ek_t,ek_p,rETRmax,plant ID,ETRmax,Treatment,Species,RLC Day,Lanai Side,Temperature (°C),specific growth rate,run,lunar phase
81,2021-09-21,hm5-1,2021-09-21_hm5-1,0.683,0.126,5.413,0.002,92.8,20.4,4.6,0,74.62,hm5,31.34,2-35‰,hm,1,D,30,,1,III
82,2021-09-21,hm5-2,2021-09-21_hm5-2,0.592,0.075,7.857,0,125.4,19.8,6.3,0,85.28,hm5,35.82,3-28‰,hm,1,D,30,,1,III
83,2021-09-21,hm5-3,2021-09-21_hm5-3,0.644,0.142,4.523,0.004,103,27.4,3.8,0,77.08,hm5,32.37,4-18‰,hm,1,D,30,,1,III
84,2021-09-21,hm5-4,2021-09-21_hm5-4,0.5,0.048,10.319,0,110.5,13,8.5,0,58.8,hm5,24.7,5-11‰,hm,1,D,30,,1,III
85,2021-09-21,ul5-1,2021-09-21_ul5-1,0.657,0.068,9.66,0,93,11.4,8.1,0,64.26,ul5,26.99,2-35‰,ul,1,D,30,,1,III
86,2021-09-21,ul5-2,2021-09-21_ul5-2,0.632,0.062,10.193,0,126.6,15.4,8.2,0,81.06,ul5,34.05,3-28‰,ul,1,D,30,,1,III
87,2021-09-21,ul5-3,2021-09-21_ul5-3,0.606,0.048,12.619,0,147.4,14.9,9.9,0,87.74,ul5,36.85,4-18‰,ul,1,D,30,,1,III
88,2021-09-21,ul5-4,2021-09-21_ul5-4,0.611,0.048,12.789,0,159.7,16.2,9.9,0,100.04,ul5,42.02,5-11‰,ul,1,D,30,,1,III
89,2021-09-21,hm6-1,2021-09-21_hm6-1,0.782,0.051,15.469,0,91.3,7,13,0,76.26,hm6,32.03,2-35‰,hm,1,D,30,,1,III
90,2021-09-21,hm6-2,2021-09-21_hm6-2,0.606,0.082,7.361,0,117.9,19.6,6,0,82.82,hm6,34.78,3-28‰,hm,1,D,30,,1,III
91,2021-09-21,hm6-3,2021-09-21_hm6-3,0.433,0.044,9.742,0,178.1,24.3,7.3,0,83.64,hm6,35.13,4-18‰,hm,1,D,30,,1,III
92,2021-09-21,hm6-4,2021-09-21_hm6-4,0.541,0.036,15.189,0,147.6,12.4,11.9,0,82.82,hm6,34.78,5-11‰,hm,1,D,30,,1,III
93,2021-09-21,ul6-1,2021-09-21_ul6-1,0.585,0.05,11.65,0,90,9.1,9.8,0,54.6,ul6,22.93,2-35‰,ul,1,D,30,,1,III
94,2021-09-21,ul6-2,2021-09-21_ul6-2,0.662,0.143,4.642,0.004,77.7,19.5,4,0,58.42,ul6,24.54,3-28‰,ul,1,D,30,,1,III
95,2021-09-21,ul6-3,2021-09-21_ul6-3,0.626,0.057,11.065,0,129.3,14.6,8.9,0,84.42,ul6,35.46,4-18‰,ul,1,D,30,,1,III
96,2021-09-21,ul6-4,2021-09-21_ul6-4,0.604,0.176,3.439,0.014,60.4,19.9,3,0,42.18,ul6,17.72,5-11‰,ul,1,D,30,,1,III
97,2021-09-24,hm2-1,2021-09-24_hm2-1,1.06,0.294,3.609,0.011,43.2,13.1,3.3,0,53.3,hm2,22.39,2-35‰,hm,5,E,30,,1,III
98,2021-09-24,hm2-2,2021-09-24_hm2-2,0.742,0.159,4.664,0.003,84.7,21.4,4,0,79.54,hm2,33.41,3-28‰,hm,5,E,30,,1,III
99,2021-09-24,hm2-3,2021-09-24_hm2-3,0.799,0.155,5.155,0.002,55.8,12.2,4.6,0,49.2,hm2,20.66,4-18‰,hm,5,E,30,,1,III
100,2021-09-24,hm2-4,2021-09-24_hm2-4,0.864,0.116,7.465,0,66.6,10.2,6.5,0,63.96,hm2,26.86,5-11‰,hm,5,E,30,,1,III
101,2021-09-24,ul2-1,2021-09-24_ul2-1,0.987,0.268,3.682,0.01,57.9,17.8,3.3,0,65.84,ul2,27.65,2-35‰,ul,5,E,30,,1,III
102,2021-09-24,ul2-2,2021-09-24_ul2-2,1.072,0.506,2.116,0.079,46.3,24.1,1.9,0.1,60.13,ul2,25.25,3-28‰,ul,5,E,30,,1,III
103,2021-09-24,ul2-3,2021-09-24_ul2-3,0.828,0.105,7.911,0,101.8,15.5,6.6,0,90.72,ul2,38.1,4-18‰,ul,5,E,30,,1,III
104,2021-09-24,ul2-4,2021-09-24_ul2-4,0.808,0.113,7.151,0,98.2,16.4,6,0,84.42,ul2,35.46,5-11‰,ul,5,E,30,,1,III
105,2021-09-24,hm1-1,2021-09-24_hm1-1,0.921,0.261,3.53,0.012,57,18.2,3.1,0,64.78,hm1,27.21,2-35‰,hm,5,E,30,,1,III
106,2021-09-24,hm1-2,2021-09-24_hm1-2,0.762,0.107,7.151,0,68.1,10.9,6.2,0,55.86,hm1,23.46,3-28‰,hm,5,E,30,,1,III
107,2021-09-24,hm1-3,2021-09-24_hm1-3,0.815,0.097,8.427,0,83.8,11.7,7.2,0,74.34,hm1,31.22,4-18‰,hm,5,E,30,,1,III
108,2021-09-24,hm1-4,2021-09-24_hm1-4,0.912,0.339,2.693,0.036,59.8,25.1,2.4,0.1,72.98,hm1,30.65,5-11‰,hm,5,E,30,,1,III
109,2021-09-24,ul1-1,2021-09-24_ul1-1,1.013,0.413,2.456,0.049,54.8,25,2.2,0.1,68.11,ul1,28.61,2-35‰,ul,5,E,30,,1,III
110,2021-09-24,ul1-2,2021-09-24_ul1-2,1.809,3.582,0.505,0.632,20.8,42.2,0.5,0.6,48.07,ul1,20.19,3-28‰,ul,5,E,30,,1,III
111,2021-09-24,ul1-3,2021-09-24_ul1-3,1.126,0.465,2.419,0.052,42.3,19.1,2.2,0.1,57,ul1,23.94,4-18‰,ul,5,E,30,,1,III
